age_bracket,health_bracket,religious_bracket,income_bracket,friends_bracket,happiness,count
1,2,2,0,2,100,1
1,2,4,0,3,100,1
2,0,0,0,0,0,7
2,0,0,0,1,36.3636363636364,11
2,0,0,0,2,33.3333333333333,6
2,0,0,0,3,0,3
2,0,0,0,4,75,4
2,0,0,1,2,0,1
2,0,0,2,1,100,1
2,0,0,2,3,0,2
2,0,0,3,2,0,1
2,0,0,3,3,0,1
2,0,0,3,4,0,1
2,0,0,4,1,0,1
2,0,0,4,3,0,1
2,0,1,0,1,50,2
2,0,1,0,2,66.6666666666667,3
2,0,1,0,3,50,2
2,0,1,1,0,0,1
2,0,1,2,4,0,1
2,0,1,3,2,100,1
2,0,1,3,3,0,1
2,0,1,4,3,0,1
2,0,2,0,1,0,1
2,0,2,0,3,100,2
2,0,2,0,4,100,1
2,0,2,1,2,0,1
2,0,2,1,3,100,1
2,0,2,2,0,0,1
2,0,2,2,1,0,1
2,0,2,2,2,0,1
2,0,2,2,4,100,1
2,0,2,3,3,100,2
2,0,2,4,1,0,1
2,0,3,0,0,0,1
2,0,3,0,1,0,2
2,0,3,0,2,50,2
2,0,3,0,3,0,2
2,0,3,2,1,0,1
2,0,3,3,1,0,1
2,0,4,0,0,50,2
2,0,4,0,1,100,1
2,0,4,0,3,100,1
2,0,4,2,3,100,1
2,1,0,0,0,12.5,8
2,1,0,0,1,38.8888888888889,54
2,1,0,0,2,41.8604651162791,43
2,1,0,0,3,40.625,32
2,1,0,0,4,70,20
2,1,0,1,0,0,1
2,1,0,1,1,44.4444444444444,9
2,1,0,1,2,22.2222222222222,9
2,1,0,1,3,50,8
2,1,0,1,4,66.6666666666667,3
2,1,0,2,1,33.3333333333333,9
2,1,0,2,2,27.2727272727273,11
2,1,0,2,3,44.4444444444444,9
2,1,0,2,4,50,4
2,1,0,3,1,0,3
2,1,0,3,2,50,12
2,1,0,3,3,20,5
2,1,0,3,4,100,7
2,1,0,4,0,0,1
2,1,0,4,1,50,2
2,1,0,4,2,0,3
2,1,0,4,3,50,6
2,1,0,4,4,80,5
2,1,1,0,0,20,5
2,1,1,0,1,33.3333333333333,15
2,1,1,0,2,52.9411764705882,17
2,1,1,0,3,50,20
2,1,1,0,4,75,4
2,1,1,1,1,66.6666666666667,3
2,1,1,1,2,33.3333333333333,3
2,1,1,1,3,28.5714285714286,7
2,1,1,1,4,50,2
2,1,1,2,1,33.3333333333333,3
2,1,1,2,2,50,2
2,1,1,2,3,50,2
2,1,1,2,4,33.3333333333333,3
2,1,1,3,1,0,3
2,1,1,3,2,0,2
2,1,1,3,3,25,4
2,1,1,4,1,0,1
2,1,1,4,3,100,3
2,1,1,4,4,0,1
2,1,2,0,0,0,2
2,1,2,0,1,37.5,24
2,1,2,0,2,47.0588235294118,17
2,1,2,0,3,37.5,16
2,1,2,0,4,41.6666666666667,12
2,1,2,1,1,8.33333333333333,12
2,1,2,1,2,25,8
2,1,2,1,3,50,8
2,1,2,1,4,0,1
2,1,2,2,1,50,4
2,1,2,2,2,57.1428571428571,7
2,1,2,2,3,75,4
2,1,2,2,4,0,1
2,1,2,3,0,0,1
2,1,2,3,1,66.6666666666667,3
2,1,2,3,2,100,2
2,1,2,3,3,100,1
2,1,2,3,4,66.6666666666667,3
2,1,2,4,1,66.6666666666667,3
2,1,2,4,2,100,2
2,1,2,4,3,0,2
2,1,2,4,4,100,1
2,1,3,0,0,33.3333333333333,3
2,1,3,0,1,55.5555555555556,9
2,1,3,0,2,63.6363636363636,11
2,1,3,0,3,16.6666666666667,6
2,1,3,0,4,40,5
2,1,3,1,1,0,1
2,1,3,1,2,66.6666666666667,3
2,1,3,1,3,100,2
2,1,3,2,0,0,1
2,1,3,2,1,66.6666666666667,3
2,1,3,2,2,25,4
2,1,3,2,3,50,2
2,1,3,3,0,100,1
2,1,3,3,1,100,2
2,1,3,3,2,33.3333333333333,3
2,1,3,3,3,50,2
2,1,3,4,2,0,1
2,1,3,4,3,0,1
2,1,3,4,4,100,2
2,1,4,0,1,50,6
2,1,4,0,2,50,2
2,1,4,0,3,57.1428571428571,7
2,1,4,0,4,50,2
2,1,4,1,1,50,2
2,1,4,1,2,50,2
2,1,4,2,1,0,2
2,1,4,2,2,100,1
2,1,4,2,3,66.6666666666667,3
2,1,4,3,2,0,1
2,1,4,3,3,100,1
2,1,4,4,2,50,2
2,1,4,4,3,100,2
2,1,4,4,4,100,1
2,2,0,0,0,40,45
2,2,0,0,1,54.9450549450549,273
2,2,0,0,2,64.6825396825397,252
2,2,0,0,3,71.3310580204778,293
2,2,0,0,4,65.5172413793104,116
2,2,0,1,0,57.1428571428571,7
2,2,0,1,1,57.9710144927536,69
2,2,0,1,2,62.0689655172414,58
2,2,0,1,3,64.1791044776119,67
2,2,0,1,4,82.6086956521739,23
2,2,0,2,0,66.6666666666667,3
2,2,0,2,1,63.3802816901409,71
2,2,0,2,2,51.5625,64
2,2,0,2,3,74.6268656716418,67
2,2,0,2,4,80,15
2,2,0,3,0,55.5555555555556,9
2,2,0,3,1,47.7611940298507,67
2,2,0,3,2,62.8571428571429,70
2,2,0,3,3,76.2886597938144,97
2,2,0,3,4,79.0697674418605,43
2,2,0,4,0,50,2
2,2,0,4,1,58.5365853658537,41
2,2,0,4,2,64.1509433962264,53
2,2,0,4,3,72.1518987341772,79
2,2,0,4,4,83.3333333333333,54
2,2,1,0,0,38.4615384615385,13
2,2,1,0,1,59.1836734693878,98
2,2,1,0,2,67.0588235294118,85
2,2,1,0,3,64.7619047619048,105
2,2,1,0,4,63.8888888888889,36
2,2,1,1,0,100,1
2,2,1,1,1,42.8571428571429,35
2,2,1,1,2,66.6666666666667,24
2,2,1,1,3,68,25
2,2,1,1,4,90,10
2,2,1,2,1,55.5555555555556,18
2,2,1,2,2,55.1724137931034,29
2,2,1,2,3,77.4193548387097,31
2,2,1,2,4,83.3333333333333,6
2,2,1,3,1,62.962962962963,27
2,2,1,3,2,72.7272727272727,22
2,2,1,3,3,88.5714285714286,35
2,2,1,3,4,57.1428571428571,14
2,2,1,4,0,100,2
2,2,1,4,1,71.4285714285714,14
2,2,1,4,2,47.3684210526316,19
2,2,1,4,3,71.7391304347826,46
2,2,1,4,4,100,11
2,2,2,0,0,30.7692307692308,13
2,2,2,0,1,60.9929078014184,141
2,2,2,0,2,66.9421487603306,121
2,2,2,0,3,73.6842105263158,152
2,2,2,0,4,76.5625,64
2,2,2,1,0,20,5
2,2,2,1,1,69.4444444444444,36
2,2,2,1,2,67.5675675675676,37
2,2,2,1,3,66.6666666666667,36
2,2,2,1,4,100,8
2,2,2,2,0,66.6666666666667,3
2,2,2,2,1,55.5555555555556,36
2,2,2,2,2,67.8571428571429,28
2,2,2,2,3,78.7878787878788,33
2,2,2,2,4,80,10
2,2,2,3,0,100,1
2,2,2,3,1,47.0588235294118,34
2,2,2,3,2,75,28
2,2,2,3,3,73.9130434782609,46
2,2,2,3,4,68.421052631579,19
2,2,2,4,1,73.6842105263158,19
2,2,2,4,2,76.9230769230769,26
2,2,2,4,3,90.625,32
2,2,2,4,4,88.8888888888889,18
2,2,3,0,0,54.5454545454545,11
2,2,3,0,1,63.6363636363636,88
2,2,3,0,2,63.953488372093,86
2,2,3,0,3,77.7777777777778,90
2,2,3,0,4,72.7272727272727,44
2,2,3,1,0,100,2
2,2,3,1,1,69.5652173913043,23
2,2,3,1,2,65.2173913043478,23
2,2,3,1,3,65.7142857142857,35
2,2,3,1,4,90.9090909090909,11
2,2,3,2,0,33.3333333333333,3
2,2,3,2,1,68.75,32
2,2,3,2,2,56,25
2,2,3,2,3,77.7777777777778,27
2,2,3,2,4,75,8
2,2,3,3,0,66.6666666666667,3
2,2,3,3,1,76.4705882352941,17
2,2,3,3,2,74.0740740740741,27
2,2,3,3,3,66.6666666666667,27
2,2,3,3,4,75,12
2,2,3,4,1,70.5882352941177,17
2,2,3,4,2,76.9230769230769,13
2,2,3,4,3,62.8571428571429,35
2,2,3,4,4,87.5,16
2,2,4,0,0,80,10
2,2,4,0,1,82.9787234042553,47
2,2,4,0,2,96.1538461538462,26
2,2,4,0,3,76.4705882352941,34
2,2,4,0,4,81.25,16
2,2,4,1,0,25,4
2,2,4,1,1,73.6842105263158,19
2,2,4,1,2,50,10
2,2,4,1,3,80,10
2,2,4,1,4,60,5
2,2,4,2,0,50,2
2,2,4,2,1,70.5882352941177,17
2,2,4,2,2,88.8888888888889,9
2,2,4,2,3,87.5,8
2,2,4,2,4,100,6
2,2,4,3,1,75,4
2,2,4,3,2,87.5,8
2,2,4,3,3,66.6666666666667,6
2,2,4,3,4,66.6666666666667,6
2,2,4,4,2,75,4
2,2,4,4,3,83.3333333333333,6
2,2,4,4,4,66.6666666666667,6
3,0,0,0,0,0,2
3,0,0,0,1,25,8
3,0,0,0,2,0,3
3,0,0,0,3,50,4
3,0,0,0,4,25,4
3,0,0,1,0,0,1
3,0,0,1,1,0,3
3,0,0,1,2,0,3
3,0,0,1,3,0,1
3,0,0,1,4,0,2
3,0,0,2,2,50,2
3,0,0,2,3,33.3333333333333,6
3,0,0,3,0,0,1
3,0,0,3,1,50,2
3,0,0,3,2,50,2
3,0,0,3,3,33.3333333333333,3
3,0,0,3,4,0,1
3,0,0,4,0,0,1
3,0,0,4,3,0,1
3,0,1,0,0,0,1
3,0,1,0,1,33.3333333333333,3
3,0,1,0,3,0,2
3,0,1,1,1,0,1
3,0,1,1,2,50,2
3,0,1,1,4,0,1
3,0,1,3,2,100,1
3,0,1,4,1,0,1
3,0,1,4,4,0,1
3,0,2,0,0,0,2
3,0,2,0,1,33.3333333333333,3
3,0,2,0,2,33.3333333333333,3
3,0,2,1,1,0,1
3,0,2,1,2,0,1
3,0,2,1,3,33.3333333333333,3
3,0,2,1,4,0,1
3,0,2,2,1,100,1
3,0,2,2,2,0,1
3,0,2,3,2,0,1
3,0,2,3,3,0,1
3,0,3,0,1,50,4
3,0,3,0,2,100,2
3,0,3,0,3,100,1
3,0,3,0,4,100,1
3,0,3,1,1,0,1
3,0,3,1,2,0,1
3,0,3,1,3,0,1
3,0,3,2,1,0,1
3,0,3,2,3,0,1
3,0,3,3,0,0,2
3,0,3,3,1,100,1
3,0,3,3,2,100,1
3,0,4,0,0,0,1
3,0,4,0,1,50,2
3,0,4,0,3,100,1
3,0,4,0,4,0,1
3,0,4,1,1,0,1
3,0,4,1,4,100,2
3,0,4,2,0,0,1
3,0,4,2,1,50,2
3,0,4,2,2,50,2
3,0,4,3,4,0,1
3,1,0,0,0,22.2222222222222,9
3,1,0,0,1,24,50
3,1,0,0,2,42.8571428571429,21
3,1,0,0,3,44.4444444444444,27
3,1,0,0,4,66.6666666666667,3
3,1,0,1,0,50,2
3,1,0,1,1,11.7647058823529,17
3,1,0,1,2,55.5555555555556,18
3,1,0,1,3,37.5,8
3,1,0,1,4,66.6666666666667,3
3,1,0,2,1,50,10
3,1,0,2,2,11.1111111111111,9
3,1,0,2,3,42.8571428571429,14
3,1,0,2,4,75,4
3,1,0,3,0,0,1
3,1,0,3,1,37.5,8
3,1,0,3,2,37.5,16
3,1,0,3,3,71.4285714285714,14
3,1,0,4,1,66.6666666666667,6
3,1,0,4,2,20,5
3,1,0,4,3,44.4444444444444,9
3,1,1,0,0,0,3
3,1,1,0,1,33.3333333333333,15
3,1,1,0,2,30,10
3,1,1,0,3,50,8
3,1,1,0,4,100,1
3,1,1,1,1,16.6666666666667,6
3,1,1,1,2,50,6
3,1,1,1,3,50,4
3,1,1,1,4,100,1
3,1,1,2,1,50,4
3,1,1,2,2,50,8
3,1,1,2,3,66.6666666666667,6
3,1,1,2,4,100,2
3,1,1,3,1,50,6
3,1,1,3,2,40,5
3,1,1,3,3,83.3333333333333,6
3,1,1,3,4,100,1
3,1,1,4,0,100,1
3,1,1,4,1,100,2
3,1,1,4,2,0,1
3,1,1,4,3,33.3333333333333,3
3,1,1,4,4,33.3333333333333,3
3,1,2,0,0,20,5
3,1,2,0,1,22.5806451612903,31
3,1,2,0,2,41.6666666666667,12
3,1,2,0,3,37.5,16
3,1,2,0,4,75,4
3,1,2,1,1,45.4545454545455,11
3,1,2,1,2,60,5
3,1,2,1,3,10,10
3,1,2,2,1,63.6363636363636,11
3,1,2,2,2,20,5
3,1,2,2,3,66.6666666666667,3
3,1,2,2,4,100,3
3,1,2,3,1,0,5
3,1,2,3,2,45.4545454545455,11
3,1,2,3,3,85.7142857142857,7
3,1,2,3,4,75,4
3,1,2,4,1,28.5714285714286,7
3,1,2,4,2,20,5
3,1,2,4,3,75,4
3,1,2,4,4,100,1
3,1,3,0,0,0,3
3,1,3,0,1,20,5
3,1,3,0,2,27.2727272727273,11
3,1,3,0,3,40,5
3,1,3,0,4,60,5
3,1,3,1,0,50,2
3,1,3,1,1,42.8571428571429,7
3,1,3,1,2,60,5
3,1,3,1,3,14.2857142857143,7
3,1,3,1,4,0,1
3,1,3,2,0,0,1
3,1,3,2,1,66.6666666666667,6
3,1,3,2,2,83.3333333333333,6
3,1,3,2,3,25,4
3,1,3,2,4,100,1
3,1,3,3,0,100,1
3,1,3,3,1,50,4
3,1,3,3,2,80,5
3,1,3,3,3,80,5
3,1,3,3,4,100,1
3,1,3,4,1,100,3
3,1,3,4,2,50,2
3,1,3,4,3,75,4
3,1,3,4,4,66.6666666666667,3
3,1,4,0,0,0,1
3,1,4,0,1,40,5
3,1,4,0,2,33.3333333333333,3
3,1,4,0,3,50,2
3,1,4,1,1,100,2
3,1,4,1,2,50,2
3,1,4,1,3,50,2
3,1,4,1,4,0,1
3,1,4,2,1,50,6
3,1,4,2,2,0,2
3,1,4,2,3,100,1
3,1,4,3,1,100,1
3,1,4,3,2,100,2
3,1,4,3,3,0,1
3,1,4,4,2,0,1
3,1,4,4,3,100,2
3,1,4,4,4,100,1
3,2,0,0,0,39.4736842105263,38
3,2,0,0,1,53.6312849162011,179
3,2,0,0,2,62.2047244094488,127
3,2,0,0,3,58.3333333333333,132
3,2,0,0,4,61.9047619047619,63
3,2,0,1,0,33.3333333333333,6
3,2,0,1,1,45.7831325301205,83
3,2,0,1,2,50.6849315068493,73
3,2,0,1,3,60.9195402298851,87
3,2,0,1,4,73.3333333333333,30
3,2,0,2,0,50,2
3,2,0,2,1,54.6875,128
3,2,0,2,2,61.7283950617284,81
3,2,0,2,3,65.0485436893204,103
3,2,0,2,4,69.2307692307692,26
3,2,0,3,0,100,2
3,2,0,3,1,58.2417582417583,91
3,2,0,3,2,62.6262626262626,99
3,2,0,3,3,76.3157894736842,114
3,2,0,3,4,81.5789473684211,38
3,2,0,4,0,25,4
3,2,0,4,1,61.7021276595745,47
3,2,0,4,2,76.271186440678,59
3,2,0,4,3,84.5360824742268,97
3,2,0,4,4,71.0526315789474,38
3,2,1,0,0,14.2857142857143,7
3,2,1,0,1,46.1538461538462,65
3,2,1,0,2,58.3333333333333,48
3,2,1,0,3,54.7619047619048,42
3,2,1,0,4,71.4285714285714,14
3,2,1,1,0,25,4
3,2,1,1,1,43.4782608695652,46
3,2,1,1,2,56.25,32
3,2,1,1,3,59.2592592592593,27
3,2,1,1,4,44.4444444444444,9
3,2,1,2,0,50,2
3,2,1,2,1,60,30
3,2,1,2,2,71.1111111111111,45
3,2,1,2,3,71.4285714285714,49
3,2,1,2,4,85.7142857142857,14
3,2,1,3,1,56.25,32
3,2,1,3,2,76.1904761904762,42
3,2,1,3,3,75,48
3,2,1,3,4,76.4705882352941,17
3,2,1,4,0,0,1
3,2,1,4,1,50,22
3,2,1,4,2,82.6086956521739,23
3,2,1,4,3,81.5789473684211,38
3,2,1,4,4,100,12
3,2,2,0,0,16.6666666666667,6
3,2,2,0,1,46.6019417475728,103
3,2,2,0,2,59.7014925373134,67
3,2,2,0,3,54.7945205479452,73
3,2,2,0,4,87.5,16
3,2,2,1,0,66.6666666666667,3
3,2,2,1,1,54.5454545454545,55
3,2,2,1,2,58.8235294117647,34
3,2,2,1,3,61.5384615384615,39
3,2,2,1,4,68.421052631579,19
3,2,2,2,0,33.3333333333333,3
3,2,2,2,1,50,62
3,2,2,2,2,70.7317073170732,41
3,2,2,2,3,61.5384615384615,52
3,2,2,2,4,75,16
3,2,2,3,0,25,4
3,2,2,3,1,45.945945945946,37
3,2,2,3,2,53.4883720930233,43
3,2,2,3,3,79.6875,64
3,2,2,3,4,79.3103448275862,29
3,2,2,4,1,72.972972972973,37
3,2,2,4,2,63.1578947368421,38
3,2,2,4,3,87.5,48
3,2,2,4,4,88.4615384615385,26
3,2,3,0,0,53.3333333333333,15
3,2,3,0,1,63.3802816901409,71
3,2,3,0,2,70.5882352941177,51
3,2,3,0,3,68.8888888888889,45
3,2,3,0,4,62.5,16
3,2,3,1,0,80,5
3,2,3,1,1,58.5365853658537,41
3,2,3,1,2,62.0689655172414,29
3,2,3,1,3,78.3783783783784,37
3,2,3,1,4,75,16
3,2,3,2,0,100,1
3,2,3,2,1,71.0526315789474,38
3,2,3,2,2,66.6666666666667,42
3,2,3,2,3,63.3333333333333,30
3,2,3,2,4,84.6153846153846,13
3,2,3,3,0,0,1
3,2,3,3,1,73.5294117647059,34
3,2,3,3,2,77.5,40
3,2,3,3,3,73.5294117647059,34
3,2,3,3,4,90.9090909090909,11
3,2,3,4,0,100,3
3,2,3,4,1,89.4736842105263,19
3,2,3,4,2,76.1904761904762,21
3,2,3,4,3,100,27
3,2,3,4,4,94.4444444444444,18
3,2,4,0,0,100,7
3,2,4,0,1,79.1666666666667,48
3,2,4,0,2,85.7142857142857,21
3,2,4,0,3,77.7777777777778,18
3,2,4,0,4,70,10
3,2,4,1,0,50,2
3,2,4,1,1,78.2608695652174,23
3,2,4,1,2,68.75,16
3,2,4,1,3,90.9090909090909,11
3,2,4,1,4,88.8888888888889,9
3,2,4,2,0,100,1
3,2,4,2,1,87.5,16
3,2,4,2,2,70.5882352941177,17
3,2,4,2,3,86.3636363636364,22
3,2,4,2,4,87.5,8
3,2,4,3,0,100,1
3,2,4,3,1,77.7777777777778,9
3,2,4,3,2,100,14
3,2,4,3,3,87.5,8
3,2,4,3,4,100,7
3,2,4,4,1,60,10
3,2,4,4,2,75,8
3,2,4,4,3,100,3
3,2,4,4,4,100,3
4,0,0,0,0,28.5714285714286,7
4,0,0,0,1,11.1111111111111,18
4,0,0,0,2,28.5714285714286,7
4,0,0,0,3,37.5,8
4,0,0,0,4,0,2
4,0,0,1,0,0,2
4,0,0,1,1,25,8
4,0,0,1,2,33.3333333333333,3
4,0,0,1,3,50,2
4,0,0,2,1,25,4
4,0,0,2,2,66.6666666666667,3
4,0,0,2,3,0,1
4,0,0,2,4,0,1
4,0,0,3,1,0,3
4,0,0,3,2,33.3333333333333,3
4,0,0,3,3,100,2
4,0,0,3,4,0,1
4,0,0,4,1,100,2
4,0,0,4,2,50,2
4,0,0,4,3,66.6666666666667,3
4,0,0,4,4,0,1
4,0,1,0,0,0,2
4,0,1,0,1,25,4
4,0,1,0,2,25,4
4,0,1,0,3,0,3
4,0,1,0,4,0,2
4,0,1,1,1,0,4
4,0,1,1,2,0,1
4,0,1,2,1,0,1
4,0,1,2,2,66.6666666666667,3
4,0,1,2,3,0,1
4,0,1,2,4,0,2
4,0,1,3,0,0,1
4,0,1,3,1,25,4
4,0,1,3,2,0,1
4,0,1,3,3,100,1
4,0,1,4,2,100,2
4,0,1,4,3,0,1
4,0,2,0,0,0,2
4,0,2,0,1,9.09090909090909,11
4,0,2,0,2,100,2
4,0,2,0,3,50,2
4,0,2,0,4,50,4
4,0,2,1,0,100,1
4,0,2,1,1,25,4
4,0,2,1,2,0,2
4,0,2,1,4,33.3333333333333,3
4,0,2,2,1,25,4
4,0,2,2,2,50,2
4,0,2,2,3,0,3
4,0,2,3,1,0,2
4,0,2,3,2,100,2
4,0,2,3,3,50,4
4,0,2,3,4,100,1
4,0,2,4,1,50,2
4,0,3,0,0,66.6666666666667,3
4,0,3,0,1,33.3333333333333,6
4,0,3,0,2,25,4
4,0,3,0,3,40,5
4,0,3,1,1,0,5
4,0,3,1,3,0,1
4,0,3,2,0,0,1
4,0,3,2,1,0,1
4,0,3,2,2,33.3333333333333,3
4,0,3,2,3,0,1
4,0,3,3,1,0,3
4,0,3,3,2,100,1
4,0,3,4,2,100,1
4,0,3,4,3,100,1
4,0,3,4,4,100,1
4,0,4,0,1,33.3333333333333,3
4,0,4,0,2,50,6
4,0,4,0,3,50,2
4,0,4,0,4,50,2
4,0,4,1,1,33.3333333333333,3
4,0,4,1,3,100,1
4,0,4,1,4,100,1
4,0,4,2,0,100,1
4,0,4,2,1,0,2
4,0,4,2,2,50,2
4,0,4,2,3,0,1
4,0,4,3,1,100,1
4,0,4,3,3,0,1
4,0,4,4,1,50,2
4,0,4,4,2,100,1
4,1,0,0,0,25,12
